"Query","Match","HMDB","PubChem","KEGG","Comment","pathway"
"Docosahexaenoic acid","Docosahexaenoic acid","HMDB02183","445580","C06429","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Arachidonic acid","Arachidonic acid","HMDB01043","444899","C00219","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"Linoleic acid","Linoleic acid","HMDB00673","5280450","C01595","1","Alpha Linolenic Acid and Linoleic Acid Metabolism"
"L-Glutamine","L-Glutamine","HMDB00641","5961","C00064","1","Ammonia Recycling"
"L-Asparagine","L-Asparagine","HMDB00168","6267","C00152","1","Ammonia Recycling"
"Histidine","L-Histidine","HMDB00177","6274","C00135","1","Ammonia Recycling"
"PC aa C34:4","PC(14:0/20:4(5Z,8Z,11Z,14Z))","HMDB07883","24778634","C00157","1","Arachidonic Acid Metabolism"
"Carnosine","Carnosine","HMDB00033","439224","C00386","1","Beta-Alanine Metabolism"
"Beta Alanine","Beta-Alanine","HMDB00056","239","C00099","1","Beta-Alanine Metabolism"
"L-Aspartic acid","L-Aspartic acid","HMDB00191","5960","C00049","1","Beta-Alanine Metabolism"
"Dodecanoic acid","Dodecanoic acid","HMDB00638","3893","C02679","1","Beta Oxidation of Very Long Chain Fatty Acids"
"Citric acid","Citric acid","HMDB00094","311","C00158","1","Citric Acid Cycle"
"Isocitric acid","Isocitric acid","HMDB00193","1198","C00311","1","Citric Acid Cycle"
"L-Palmitoylcarnitine","L-Palmitoylcarnitine","HMDB00222","11953816","C02990","1","Fatty acid Metabolism"
"Alpha-Lactose","Alpha-Lactose","HMDB00186","84571","C00243","1","Galactose Metabolism"
"Malic acid","Malic acid","HMDB00744","525","C00711","1","Gluconeogenesis"
"Pyroglutamic acid","Pyroglutamic acid","HMDB00267","7405","C01879","1","Glutathione Metabolism"
"Glycerol","Glycerol","HMDB00131","753","C00116","1","Glycerolipid Metabolism"
"Palmitic acid","Palmitic acid","HMDB00220","985","C00249","1","Glycerolipid Metabolism"
"Glycine","Glycine","HMDB00123","750","C00037","1","Glycine and Serine Metabolism"
"L-Threonine","L-Threonine","HMDB00167","6288","C00188","1","Glycine and Serine Metabolism"
"L Cysteine","L-Cysteine","HMDB00574","5862","C00097","1","Glycine and Serine Metabolism"
"L-Arginine","L-Arginine","HMDB00517","6322","C00062","1","Glycine and Serine Metabolism"
"L-Alanine","L-Alanine","HMDB00161","5950","C00041","1","Glycine and Serine Metabolism"
"Glyceric acid","Glyceric acid","HMDB00139","439194","C00258","1","Glycine and Serine Metabolism"
"L-Methionine","L-Methionine","HMDB00696","6137","C00073","1","Glycine and Serine Metabolism"
"L-Serine","L-Serine","HMDB00187","5951","C00065","1","Glycine and Serine Metabolism"
"L-Glutamic acid","L-Glutamic acid","HMDB00148","33032","C00025","1","Glycine and Serine Metabolism"
"D-Glucose","D-Glucose","HMDB00122","5793","C00031","1","Glycolysis"
"Myoinositol","Myoinositol","HMDB00211",NA,"C00137","1","Inositol Metabolism"
"Methionine sulfoxide","Methionine sulfoxide","HMDB02005","847","","1","Methionine Metabolism"
"Putrescine","Putrescine","HMDB01414","1045","C00134","1","Methionine Metabolism"
"Spermidine","Spermidine","HMDB01257","1102","C00315","1","Methionine Metabolism"
"Octadecanoylcarnitine","Stearoylcarnitine","HMDB00848","6426855","","1","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids"
"Octanoylcarnitine","L-Octanoylcarnitine","HMDB00791","11953814","C02838","1","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids"
"D-Galactose","D-Galactose","HMDB00143","439357","C00124","1","Nucleotide Sugars Metabolism"
"Acetylcarnitine","L-Acetylcarnitine","HMDB00201","1","C02571","1","Oxidation of Branched Chain Fatty Acids"
"Propionylcarnitine","Propionylcarnitine","HMDB00824","107738","C03017","1","Oxidation of Branched Chain Fatty Acids"
"L-Phenylalanine","L-Phenylalanine","HMDB00159","6140","C00079","1","Phenylalanine and Tyrosine Metabolism"
"Glycerol 3-phosphate","Glycerol 3-phosphate","HMDB00126","439162","C00093","1","Phospholipid Biosynthesis"
"Stearic acid","Stearic acid","HMDB00827","5281","C01530","1","Plasmalogen Synthesis"
"L-Valine","L-Valine","HMDB00883","6287","C00183","1","Propanoate Metabolism"
"Uric acid","Uric acid","HMDB00289","1175","C00366","1","Purine Metabolism"
"Spermine","Spermine","HMDB01256","1103","C00750","1","Spermidine and Spermine Biosynthesis"
"Taurine","Taurine","HMDB00251","1123","C00245","1","Taurine and Hypotaurine Metabolism"
"Proline","L-Proline","HMDB00162","145742","C00148","1","Transcription/Translation"
"L-Leucine","L-Leucine","HMDB00687","6106","C00123","1","Transcription/Translation"
"Kynurenine","L-Kynurenine","HMDB00684","161166","C00328","1","Tryptophan Metabolism"
"L-Tyrosine","L-Tyrosine","HMDB00158","6057","C00082","1","Tyrosine Metabolism"
"Fumaric acid","Fumaric acid","HMDB00134","444972","C00122","1","Tyrosine Metabolism"
"3-Methyl-2-oxovaleric acid","3-Methyl-2-oxovaleric acid","HMDB00491","47","C03465","1","Valine, Leucine and Isoleucine Degradation"
"1,5-Anhydrosorbitol","1,5-Anhydrosorbitol","HMDB02712","64960","C07326","1",NA
"Galactonic acid","Galactonic acid","HMDB00565","128869","C00880","1",NA
"Glutaconylcarnitine","Glutaconylcarnitine","HMDB13129","53481620","","1",NA
"Hexanoylcarnitine","Hexanoylcarnitine","HMDB00705","6426853","","1",NA
"PC ae C34:3","PC(o-16:1(9Z)/18:2(9Z,12Z))","HMDB13413","53481709","","1",NA
"3-Methylglutarylcarnitine","3-Methylglutarylcarnitine","HMDB00552","128145","","1",NA
"PC ae C44:3","PC(o-22:0/22:3(10Z,13Z,16Z))","HMDB13449","53481753","","1",NA
"PC ae C30:1","PC(o-14:0/16:1(9Z))","HMDB13402","24779277","","1",NA
"Methylcysteine","Methylcysteine","HMDB02108","24417","","1",NA
"isoleucine","(+/-)-erythro-Isoleucine","HMDB33923","791","C16434","1",NA
"PC aa C26:0","NA","NA","NA","NA","0",NA
"PC ae C38:2","PC(o-18:1(9Z)/20:1(11Z))","HMDB13431","53481729","","1",NA
"Tetradecadienoylcarnitine","NA","NA","NA","NA","0",NA
"PC ae C44:4","PC(o-22:1(13Z)/22:3(10Z,13Z,16Z))","HMDB13453","53481761","","1",NA
"PC ae C44:6","PC(o-22:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB13450","53481755","","1",NA
"PC aa C40:3","PC(18:1(9Z)/22:2(13Z,16Z))","HMDB08119","52922703","C00157","1",NA
"2-Hydroxypyridine","2-Hydroxypyridine","HMDB13751","8871","C02502","1",NA
"Benzoic acid","Benzoic acid","HMDB01870","243","C00180","1",NA
"Tiglylcarnitine","Tiglylcarnitine","HMDB02366","22833596","","1",NA
"3-Hydroxy-9-hexadecenoylcarnitine","3-Hydroxy-9-hexadecenoylcarnitine","HMDB13333","53481685","","1",NA
"PC aa C42:0","PC(18:0/24:0)","HMDB08058","24778880","C00157","1",NA
"Pelargonic acid","Pelargonic acid","HMDB00847","8158","C01601","1",NA
"Butenylcarnitine","Butenylcarnitine","HMDB13126","53481615","","1",NA
"Indoxyl sulfate","Indoxyl sulfate","HMDB00682","10258","","1",NA
"Glutaric acid","Glutaric acid","HMDB00661","743","C00489","1",NA
"Hydroxyhexanoylcarnitine","NA","NA","NA","NA","0",NA
"Hexadecadienoylcarnitine","NA","NA","NA","NA","0",NA
"PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB08055","24778871","C00157","1",NA
"Oleic acid","Oleic acid","HMDB00207","445639","C00712","1",NA
"PC aa C38:0","PC(14:0/24:0)","HMDB07893","24778642","C00157","1",NA
"Decanoylcarnitine","Decanoylcarnitine","HMDB00651","10245190","","1",NA
"Mannitol","Mannitol","HMDB00765","6251","C00392","1",NA
"Ribonolactone","Ribonolactone","HMDB01900","111064","C02674","1",NA
"PC ae C38:1","PC(o-16:1(9Z)/22:0)","HMDB13416","53481715","","1",NA
"Valerylcarnitine","Valerylcarnitine","HMDB13128","53481619","","1",NA
"Ribitol","Ribitol","HMDB00508",NA,"C00474","1",NA
"9-Hexadecenoylcarnitine","9-Hexadecenoylcarnitine","HMDB13207","53481653","","1",NA
"L-Sorbose","L-Sorbose","HMDB01266","441484","C08356","1",NA
"PC ae C42:5","PC(o-22:1(13Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13451","53481757","","1",NA
"PC aa C40:2","PC(20:0/20:2(11Z,14Z))","HMDB08276","24779046","C00157","1",NA
"Hydroxybutyrylcarnitine","Hydroxybutyrylcarnitine","HMDB13127","53481617","","1",NA
"3-Hydroxyhexadecanoylcarnitine","3-Hydroxyhexadecanoylcarnitine","HMDB13336","53481691","","1",NA
"Decenoylcarnitine","NA","NA","NA","NA","0",NA
"PC ae C40:3","PC(o-22:0/18:3(6Z,9Z,12Z))","HMDB13445","53481745","","1",NA
"PC aa C42:5","PC(20:0/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB08287","24779052","C00157","1",NA
"X3 hydroxypyridine","NA","NA","NA","NA","0",NA
"PC ae C38:3","PC(o-20:0/18:3(6Z,9Z,12Z))","HMDB13439","52923834","","1",NA
"Decadienoylcarnitine","NA","NA","NA","NA","0",NA
"2-Hexenoylcarnitine","2-Hexenoylcarnitine","HMDB13161","53481638","","1",NA
"Erythrose","Erythrose","HMDB02649","439574","C01796","1",NA
"PC ae C36:1","PC(o-16:1(9Z)/20:0)","HMDB13414","53481711","","1",NA
"PC aa C38:3","PC(18:0/20:3(5Z,8Z,11Z))","HMDB08046","24778855","C00157","1",NA
"Tetradecanoylcarnitine","Tetradecanoylcarnitine","HMDB05066","53477791","","1",NA
"PC ae C40:6","PC(o-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB13422","24779341","","1",NA
"Dodecanedioylcarnitine","Dodecanedioylcarnitine","HMDB13327","53481673","","1",NA
"Dodecenoylcarnitine","NA","NA","NA","NA","0",NA
"PC ae C40:4","PC(o-20:0/20:4(8Z,11Z,14Z,17Z))","HMDB13442","52923852","","1",NA
"12-Hydroxy-12-octadecanoylcarnitine","12-Hydroxy-12-octadecanoylcarnitine","HMDB13154","53481632","","1",NA
"PC aa C42:1","PC(18:0/24:1(15Z))","HMDB08059","24778881","C00157","1",NA
"2-Hydroxy-3-methylbutyric acid","2-Hydroxy-3-methylbutyric acid","HMDB00407","99823","","1",NA
"PC aa C36:3","PC(16:0/20:3(5Z,8Z,11Z))","HMDB07980","24778715","C00157","1",NA
"Pimeloylcarnitine","NA","NA","NA","NA","0",NA
"2-Hydroxybutyric acid","2-Hydroxybutyric acid","HMDB00008","11266","C05984","1",NA
"Tetradecenoylcarnitine","NA","NA","NA","NA","0",NA
"Maleic acid","Maleic acid","HMDB00176","444266","C01384","1",NA
"PC ae C36:5","PC(o-16:1(9Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13415","53481713","","1",NA
"Hydroxypropionylcarnitine","Hydroxypropionylcarnitine","HMDB13125","53481613","","1",NA
"PC aa C28:1","PC(14:1(9Z)/14:0)","HMDB07899","52922244","C00157","1",NA
"Propenoylcarnitine","Propenoylcarnitine","HMDB13124","53481611","","1",NA
"PC aa C30:0","PC(14:0/16:0)","HMDB07869","129657","C00157","1",NA
"Nonaylcarnitine","Nonanoylcarnitine","HMDB13288","53481660","","1",NA
"PC aa C42:2","PC(20:0/22:2(13Z,16Z))","HMDB08284","52923085","C00157","1",NA
"PC ae C44:5","PC(o-22:2(13Z,16Z)/22:3(10Z,13Z,16Z))","HMDB13456","53481767","","1",NA
"PC ae C30:2","PC(o-16:1(9Z)/14:1(9Z))","HMDB13410","53481703","","1",NA
"PC aa C38:4","PC(18:0/20:4(5Z,8Z,11Z,14Z))","HMDB08048","16219824","C00157","1",NA
"Petroselinic acid","Petroselinic acid","HMDB02080","5461010","C08363","1",NA
"Tryptophan","D-Tryptophan","HMDB13609","9060","C00525","1",NA
"PC aa C36:5","PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB07984","24778723","C00157","1",NA
"PC ae C42:0","PC(o-20:0/22:0)","HMDB13443","24779354","","1",NA
"Octadecenoylcarnitine","NA","NA","NA","NA","0",NA
"L-Arabitol","L-Arabitol","HMDB01851","439255","C00532","1",NA
"PC aa C36:6","PC(14:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB07892","24778639","C00157","1",NA
"PC ae C42:2","PC(o-18:2(9Z,12Z)/24:0)","HMDB13438","53481741","","1",NA
"PC ae C42:3","PC(o-24:0/18:3(6Z,9Z,12Z))","HMDB13458","53481771","","1",NA
"Octadecadienylcarnitine","NA","NA","NA","NA","0",NA
"PC ae C36:0","PC(o-16:0/20:0)","HMDB13406","24779297","","1",NA
"PC ae C40:5","PC(o-20:1(11Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13444","53481743","","1",NA
"PC aa C36:4","PC(18:2(9Z,12Z)/18:2(9Z,12Z))","HMDB08138","5288075","C00157","1",NA
"PC aa C32:0","PC(14:0/18:0)","HMDB07871","131150","C00157","1",NA
"Hydroxyvalerylcarnitine","Hydroxyvalerylcarnitine","HMDB13132","53481626","","1",NA
"PC aa C34:3","PC(16:0/18:3(6Z,9Z,12Z))","HMDB07974","24778699","C00157","1",NA
"PC ae C40:2","PC(o-18:2(9Z,12Z)/22:0)","HMDB13437","53481739","","1",NA
"PC ae C38:0","PC(o-16:0/22:0)","HMDB13408","24779301","","1",NA
"PC aa C42:4","PC(20:0/22:4(7Z,10Z,13Z,16Z))","HMDB08285","52923087","C00157","1",NA
"PC aa C32:3","PC(14:0/18:3(9Z,12Z,15Z))","HMDB07876","24778625","C00157","1",NA
"D-Xylose","D-Xylose","HMDB00098","135191","C00181","1",NA
"PC ae C32:1","PC(o-16:0/16:1(9Z))","HMDB13404","52923742","","1",NA
"Hydroxytetradecadienoylcarnitine","NA","NA","NA","NA","0",NA
"3-Hydroxy-cis-5-tetradecenoylcarnitine","3-Hydroxy-cis-5-tetradecenoylcarnitine","HMDB13330","53481679","","1",NA
"PC ae C38:5","PC(o-18:1(9Z)/20:4(8Z,11Z,14Z,17Z))","HMDB13432","24779379","","1",NA
"PC aa C38:5","PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB07989","24778735","C00157","1",NA
"PC ae C30:0","PC(o-14:0/16:0)","HMDB13341","24779275","","1",NA
"PC aa C40:1","PC(16:0/24:1(15Z))","HMDB07993","24778745","C00157","1",NA
"Butyrylcarnitine","Butyrylcarnitine","HMDB02013","439829","C02862","1",NA
"Dodecanoylcarnitine","Dodecanoylcarnitine","HMDB02250","168381","","1",NA
"PC ae C36:4","PC(o-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB13407","53481701","","1",NA
"Glycolic acid","Glycolic acid","HMDB00115","757","C00160","1",NA
"L-Cystine","L-Cystine","HMDB00192","67678","C00491","1",NA
"Hydroxyhexadecadienoylcarnitine","NA","NA","NA","NA","0",NA
"D-Threitol","D-Threitol","HMDB04136","169019","C16884","1",NA
"PC ae C34:0","PC(o-16:0/18:0)","HMDB13405","11803170","","1",NA
"PC ae C38:6","PC(o-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB13409","16759366","","1",NA
"PC aa C40:4","PC(18:0/22:4(7Z,10Z,13Z,16Z))","HMDB08054","24778868","C00157","1",NA
"PC ae C36:3","PC(o-18:1(9Z)/18:2(9Z,12Z))","HMDB13429","6443159","","1",NA
"PC aa C38:6","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB07991","6441886","C00157","1",NA
"N-Acetylornithine","N-Acetylornithine","HMDB03357","439232","C00437","1",NA
"PC ae C38:4","PC(o-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB13420","6443065","","1",NA
"PC aa C24:0","NA","NA","NA","NA","0",NA
"PC aa C40:6","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB08057","24778876","C00157","1",NA
"D-2-Hydroxyglutaric acid","D-2-Hydroxyglutaric acid","HMDB00606","439391","C01087","1",NA
"PC ae C40:1","PC(o-18:1(9Z)/22:0)","HMDB13433","53481731","","1",NA
"PC ae C32:2","PC(o-16:1(9Z)/16:1(9Z))","HMDB13411","53481705","","1",NA
"PC aa C36:1","PC(18:0/18:1(11Z))","HMDB08037","24778815","C00157","1",NA
"PC aa C36:0","PC(18:0/18:0)","HMDB08036","94190","C00157","1",NA
"PC ae C42:4","PC(o-22:0/20:4(8Z,11Z,14Z,17Z))","HMDB13448","53481751","","1",NA
"PC ae C42:1","PC(o-18:1(9Z)/24:0)","HMDB13434","53481733","","1",NA
"PC aa C34:2","PC(16:0/18:2(9Z,12Z))","HMDB07973","5287971","C00157","1",NA
"PC aa C36:2","PC(18:1(9Z)/18:1(9Z)) ","HMDB00593","6437081","C00157","1",NA
"PC ae C36:2","PC(o-18:0/18:2(9Z,12Z))","HMDB13418","6443070","","1",NA
"PC ae C34:2","PC(O-16:0/18:2(9Z,12Z))","HMDB11151","6443157","","1",NA
"PC aa C32:1","PC(16:0/16:1(9Z))","HMDB07969","6443788","C00157","1",NA
"PC aa C34:1","PC(16:0/18:1(9Z))","HMDB07972","5497103","C00157","1",NA
"PC ae C34:1","PC(o-18:1(9Z)/16:0)","HMDB13426","6443119","","1",NA
"PC aa C42:6","PC(20:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB08288","24779053","C00157","1",NA
