"","batch3","batch12","rename","batch12raw","batch3raw","clean","lili"
"1","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","Alpha.Lactose","AlphaLactose","Alpha-Lactose"
"2","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonic.acid","Arachidonicacid","Arachidonic acid"
"3","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoic.acid","Benzoicacid","Benzoic acid"
"4","Beta.Alanine","Beta.Alanine","Beta.Alanine","Beta.Alanine","Beta.Alanine","BetaAlanine","Beta Alanine"
"5","C10","C10","C10","C10","C10","C10","Decanoylcarnitine"
"6","C10:1","C101","C10:1","C10.1","C10.1","C10_1","Decenoylcarnitine"
"7","C10:2","C102","C10:2","C10.2","C10.2","C10_2","Decadienoylcarnitine"
"8","C12","C12","C12","C12","C12","C12","Dodecanoylcarnitine"
"9","C12-DC","C12.DC","C12-DC","C12.DC","C12.DC","C12_DC","Dodecanedioylcarnitine"
"10","C12:1","C121","C12:1","C12.1","C12.1","C12_1","Dodecenoylcarnitine"
"11","C14","C14","C14","C14","C14","C14","Tetradecanoylcarnitine"
"12","C14:1","C141","C14:1","C14.1","C14.1","C14_1","Tetradecenoylcarnitine"
"13","C14:1-OH","C141.OH","C14:1-OH","C14.1.OH","C14.1.OH","C14_1_OH","3-Hydroxy-cis-5-tetradecenoylcarnitine"
"14","C14:2","C142","C14:2","C14.2","C14.2","C14_2","Tetradecadienoylcarnitine"
"15","C14:2-OH","C142.OH","C14:2-OH","C14.2.OH","C14.2.OH","C14_2_OH","Hydroxytetradecadienoylcarnitine"
"16","C16","C16","C16","C16","C16","C16","L-Palmitoylcarnitine"
"17","C16:1","C161","C16:1","C16.1","C16.1","C16_1","9-Hexadecenoylcarnitine"
"18","C16:1-OH","C161.OH","C16:1-OH","C16.1.OH","C16.1.OH","C16_1_OH","3-Hydroxy-9-hexadecenoylcarnitine"
"19","C16-OH","C16.OH","C16-OH","C16.OH","C16.OH","C16_OH","3-Hydroxyhexadecanoylcarnitine"
"20","C16:2","C162","C16:2","C16.2","C16.2","C16_2","Hexadecadienoylcarnitine"
"21","C16:2-OH","C162.OH","C16:2-OH","C16.2.OH","C16.2.OH","C16_2_OH","Hydroxyhexadecadienoylcarnitine"
"22","C18","C18","C18","C18","C18","C18","Octadecanoylcarnitine"
"23","C18:1","C181","C18:1","C18.1","C18.1","C18_1","Octadecenoylcarnitine"
"24","C18:1-OH","C181.OH","C18:1-OH","C18.1.OH","C18.1.OH","C18_1_OH","12-Hydroxy-12-octadecanoylcarnitine"
"25","C18:2","C182","C18:2","C18.2","C18.2","C18_2","Octadecadienylcarnitine"
"26","C2","C2","C2","C2","C2","C2","Acetylcarnitine"
"27","C3","C3","C3","C3","C3","C3","Propionylcarnitine"
"28","C3-DC (C4-OH)","C3.DC.C4.OH","C3-DC (C4-OH)","C3.DC..C4.OH.","C3.DC..C4.OH.","C3_D_C4_OH","Hydroxybutyrylcarnitine"
"29","C3:1","C31","C3:1","C3.1","C3.1","C3_1","Propenoylcarnitine"
"30","C3-OH","C3.OH","C3-OH","C3.OH","C3.OH","C3_OH","Hydroxypropionylcarnitine"
"31","C4","C4","C4","C4","C4","C4","Butyrylcarnitine"
"32","C4:1","C41","C4:1","C4.1","C4.1","C4_1","Butenylcarnitine"
"33","C5","C5","C5","C5","C5","C5","Valerylcarnitine"
"34","C5:1","C51","C5:1","C5.1","C5.1","C5_1","Tiglylcarnitine"
"35","C5:1-DC","C51.DC","C5:1-DC","C5.1.DC","C5.1.DC","C5_1_DC","Glutaconylcarnitine"
"36","C5-DC (C6-OH)","C5.DC.C6.OH","C5-DC (C6-OH)","C5.DC..C6.OH.","C5.DC..C6.OH.","C5_D_C6_OH","Hydroxyhexanoylcarnitine"
"37","C5-M-DC","C5.M.DC","C5-M-DC","C5.M.DC","C5.M.DC","C5_M_DC","3-Methylglutarylcarnitine"
"38","C5-OH (C3-DC-M)","C5.OH.C3.DC.M","C5-OH (C3-DC-M)","C5.OH..C3.DC.M.","C5.OH..C3.DC.M.","C5_OH_C3_DC_M","Hydroxyvalerylcarnitine"
"39","C6 (C4:1-DC)","C6.C41.DC","C6 (C4:1-DC)","C6..C4.1.DC.","C6..C4.1.DC.","C6_C4_1_DC","Hexanoylcarnitine"
"40","C6:1","C61","C6:1","C6.1","C6.1","C6_1","2-Hexenoylcarnitine"
"41","C7-DC","C7.DC","C7-DC","C7.DC","C7.DC","C7_DC","Pimeloylcarnitine"
"42","C8","C8","C8","C8","C8","C8","Octanoylcarnitine"
"43","C9","C9","C9","C9","C9","C9","Nonaylcarnitine"
"44","Citric.acid","Citric.acid","Citric.acid","Citric.acid","Citric.acid","Citricacid","Citric acid"
"45","Carnosine","Carnosine","Carnosine","Carnosine","Carnosine","Carnosine","Carnosine"
"46","D.2.Hydroxyglutaric.acid","D.2.Hydroxyglutaric.acid","D.2.Hydroxyglutaric.acid","D.2.Hydroxyglutaric.acid","D.2.Hydroxyglutaric.acid","D2Hydroxyglutaricacid","D-2-Hydroxyglutaric acid"
"47","D.Galactose","D.Galactose","D.Galactose","D.Galactose","D.Galactose","DGalactose","D-Galactose"
"48","D.Glucose","D.Glucose","D.Glucose","D.Glucose","D.Glucose","DGlucose","D-Glucose"
"49","D.Xylose","D.Xylose","D.Xylose","D.Xylose","D.Xylose","DXylose","D-Xylose"
"50","D.Threitol","D.Threitol","D.Threitol","D.Threitol","D.Threitol","DThreitol","D-Threitol"
"51","Docosahexaenoic.acid","Docosahexaenoic.acid","Docosahexaenoic.acid","Docosahexaenoic.acid","Docosahexaenoic.acid","Docosahexaenoicacid","Docosahexaenoic acid"
"52","Dodecanoic.acid","Dodecanoic.acid","Dodecanoic.acid","Dodecanoic.acid","Dodecanoic.acid","Dodecanoicacid","Dodecanoic acid"
"53","Erythrose","Erythrose","Erythrose","Erythrose","Erythrose","Erythrose","Erythrose"
"54","Fumaric.acid","Fumaric.acid","Fumaric.acid","Fumaric.acid","Fumaric.acid","Fumaricacid","Fumaric acid"
"55","Galactonic.acid","Galactonic.acid","Galactonic.acid","Galactonic.acid","Galactonic.acid","Galactonicacid","Galactonic acid"
"56","Glutaric.acid","Glutaric.acid","Glutaric.acid","Glutaric.acid","Glutaric.acid","Glutaricacid","Glutaric acid"
"57","Glyceric.acid","Glyceric.acid","Glyceric.acid","Glyceric.acid","Glyceric.acid","Glycericacid","Glyceric acid"
"58","Glycerol","Glycerol","Glycerol","Glycerol","Glycerol","Glycerol","Glycerol"
"59","Glycerol.3.phosphate","Glycerol.3.phosphate","Glycerol.3.phosphate","Glycerol.3.phosphate","Glycerol.3.phosphate","Glycerol3phosphate","Glycerol 3-phosphate"
"60","Glycine","Glycine","Glycine","Glycine","Glycine","Glycine","Glycine"
"61","Glycolic.acid","Glycolic.acid","Glycolic.acid","Glycolic.acid","Glycolic.acid","Glycolicacid","Glycolic acid"
"62","Histidine","Histidine","Histidine","Histidine","Histidine","Histidine","Histidine"
"63","Indoxyl.sulfate","Indoxyl.sulfate","Indoxyl.sulfate","Indoxyl.sulfate","Indoxyl.sulfate","Indoxylsulfate","Indoxyl sulfate"
"64","Isocitric.acid","Isocitric.acid","Isocitric.acid","Isocitric.acid","Isocitric.acid","Isocitricacid","Isocitric acid"
"65","isoleucine","isoleucine","isoleucine","isoleucine","isoleucine","isoleucine","isoleucine"
"66","Kynurenine","Kynurenine","Kynurenine","Kynurenine","Kynurenine","Kynurenine","Kynurenine"
"67","L.Alanine","L.Alanine","L.Alanine","L.Alanine","L.Alanine","LAlanine","L-Alanine"
"68","L.Arabitol","L.Arabitol","L.Arabitol","L.Arabitol","L.Arabitol","LArabitol","L-Arabitol"
"69","L.Arginine","L.Arginine","L.Arginine","L.Arginine","L.Arginine","LArginine","L-Arginine"
"70","L.Asparagine","L.Asparagine","L.Asparagine","L.Asparagine","L.Asparagine","LAsparagine","L-Asparagine"
"71","L.Aspartic.acid","L.Aspartic.acid","L.Aspartic.acid","L.Aspartic.acid","L.Aspartic.acid","LAsparticacid","L-Aspartic acid"
"72","L.Cysteine","L.Cysteine","L.Cysteine","L.Cysteine","L.Cysteine","LCysteine","L Cysteine"
"73","L.Cystine","L.Cystine","L.Cystine","L.Cystine","L.Cystine","LCystine","L-Cystine"
"74","L.Glutamic.acid","L.Glutamic.acid","L.Glutamic.acid","L.Glutamic.acid","L.Glutamic.acid","LGlutamicacid","L-Glutamic acid"
"75","L.Glutamine","L.Glutamine","L.Glutamine","L.Glutamine","L.Glutamine","LGlutamine","L-Glutamine"
"76","L.Leucine","L.Leucine","L.Leucine","L.Leucine","L.Leucine","LLeucine","L-Leucine"
"77","L.Methionine","L.Methionine","L.Methionine","L.Methionine","L.Methionine","LMethionine","L-Methionine"
"78","L.Phenylalanine","L.Phenylalanine","L.Phenylalanine","L.Phenylalanine","L.Phenylalanine","LPhenylalanine","L-Phenylalanine"
"79","L.Serine","L.Serine","L.Serine","L.Serine","L.Serine","LSerine","L-Serine"
"80","L.Sorbose","L.Sorbose","L.Sorbose","L.Sorbose","L.Sorbose","LSorbose","L-Sorbose"
"81","L.Threonine","L.Threonine","L.Threonine","L.Threonine","L.Threonine","LThreonine","L-Threonine"
"82","L.Tyrosine","L.Tyrosine","L.Tyrosine","L.Tyrosine","L.Tyrosine","LTyrosine","L-Tyrosine"
"83","L.Valine","L.Valine","L.Valine","L.Valine","L.Valine","LValine","L-Valine"
"84","Linoleic.acid","Linoleic.acid","Linoleic.acid","Linoleic.acid","Linoleic.acid","Linoleicacid","Linoleic acid"
"85","Maleic.acid","Maleic.acid","Maleic.acid","Maleic.acid","Maleic.acid","Maleicacid","Maleic acid"
"86","Malic.acid","Malic.acid","Malic.acid","Malic.acid","Malic.acid","Malicacid","Malic acid"
"87","Mannitol","Mannitol","Mannitol","Mannitol","Mannitol","Mannitol","Mannitol"
"88","Methionine sulfoxide","Methionine.sulfoxide","Methionine sulfoxide","Methionine.sulfoxide","Methionine.sulfoxide","Methionine_sulfoxide","Methionine sulfoxide"
"89","Methylcysteine","Methylcysteine","Methylcysteine","Methylcysteine","Methylcysteine","Methylcysteine","Methylcysteine"
"90","Myoinositol","Myoinositol","Myoinositol","Myoinositol","Methylmalonic.acid","Myoinositol","Myoinositol"
"91","N-Acetyl-l-ornithine","N.Acetyl.l.ornithine","N-Acetyl-l-ornithine","N.Acetyl.l.ornithine","N.Acetyl.l.ornithine","N_Acetyl_l_ornithine","N-Acetylornithine"
"92","Oleic.acid","Oleic.acid","Oleic.acid","Oleic.acid","Oleic.acid","Oleicacid","Oleic acid"
"93","Palmitic.acid","Palmitic.acid","Palmitic.acid","Palmitic.acid","Palmitic.acid","Palmiticacid","Palmitic acid"
"94","PC aa C24:0","PC.aa.C240","PC aa C24:0","PC.aa.C24.0","PC.aa.C24.0","PC_aa_C24_0","PC aa C24:0"
"95","PC aa C26:0","PC.aa.C260","PC aa C26:0","PC.aa.C26.0","PC.aa.C26.0","PC_aa_C26_0","PC aa C26:0"
"96","PC aa C28:1","PC.aa.C281","PC aa C28:1","PC.aa.C28.1","PC.aa.C28.1","PC_aa_C28_1","PC aa C28:1"
"97","PC aa C30:0","PC.aa.C300","PC aa C30:0","PC.aa.C30.0","PC.aa.C30.0","PC_aa_C30_0","PC aa C30:0"
"98","PC aa C32:0","PC.aa.C320","PC aa C32:0","PC.aa.C32.0","PC.aa.C32.0","PC_aa_C32_0","PC aa C32:0"
"99","PC aa C32:1","PC.aa.C321","PC aa C32:1","PC.aa.C32.1","PC.aa.C32.1","PC_aa_C32_1","PC aa C32:1"
"100","PC aa C32:3","PC.aa.C323","PC aa C32:3","PC.aa.C32.3","PC.aa.C32.3","PC_aa_C32_3","PC aa C32:3"
"101","PC aa C34:1","PC.aa.C341","PC aa C34:1","PC.aa.C34.1","PC.aa.C34.1","PC_aa_C34_1","PC aa C34:1"
"102","PC aa C34:2","PC.aa.C342","PC aa C34:2","PC.aa.C34.2","PC.aa.C34.2","PC_aa_C34_2","PC aa C34:2"
"103","PC aa C34:3","PC.aa.C343","PC aa C34:3","PC.aa.C34.3","PC.aa.C34.3","PC_aa_C34_3","PC aa C34:3"
"104","PC aa C34:4","PC.aa.C344","PC aa C34:4","PC.aa.C34.4","PC.aa.C34.4","PC_aa_C34_4","PC aa C34:4"
"105","PC aa C36:0","PC.aa.C360","PC aa C36:0","PC.aa.C36.0","PC.aa.C36.0","PC_aa_C36_0","PC aa C36:0"
"106","PC aa C36:1","PC.aa.C361","PC aa C36:1","PC.aa.C36.1","PC.aa.C36.1","PC_aa_C36_1","PC aa C36:1"
"107","PC aa C36:2","PC.aa.C362","PC aa C36:2","PC.aa.C36.2","PC.aa.C36.2","PC_aa_C36_2","PC aa C36:2"
"108","PC aa C36:3","PC.aa.C363","PC aa C36:3","PC.aa.C36.3","PC.aa.C36.3","PC_aa_C36_3","PC aa C36:3"
"109","PC aa C36:4","PC.aa.C364","PC aa C36:4","PC.aa.C36.4","PC.aa.C36.4","PC_aa_C36_4","PC aa C36:4"
"110","PC aa C36:5","PC.aa.C365","PC aa C36:5","PC.aa.C36.5","PC.aa.C36.5","PC_aa_C36_5","PC aa C36:5"
"111","PC aa C36:6","PC.aa.C366","PC aa C36:6","PC.aa.C36.6","PC.aa.C36.6","PC_aa_C36_6","PC aa C36:6"
"112","PC aa C38:0","PC.aa.C380","PC aa C38:0","PC.aa.C38.0","PC.aa.C38.0","PC_aa_C38_0","PC aa C38:0"
"113","PC aa C38:3","PC.aa.C383","PC aa C38:3","PC.aa.C38.3","PC.aa.C38.3","PC_aa_C38_3","PC aa C38:3"
"114","PC aa C38:4","PC.aa.C384","PC aa C38:4","PC.aa.C38.4","PC.aa.C38.4","PC_aa_C38_4","PC aa C38:4"
"115","PC aa C38:5","PC.aa.C385","PC aa C38:5","PC.aa.C38.5","PC.aa.C38.5","PC_aa_C38_5","PC aa C38:5"
"116","PC aa C38:6","PC.aa.C386","PC aa C38:6","PC.aa.C38.6","PC.aa.C38.6","PC_aa_C38_6","PC aa C38:6"
"117","PC aa C40:1","PC.aa.C401","PC aa C40:1","PC.aa.C40.1","PC.aa.C40.1","PC_aa_C40_1","PC aa C40:1"
"118","PC aa C40:2","PC.aa.C402","PC aa C40:2","PC.aa.C40.2","PC.aa.C40.2","PC_aa_C40_2","PC aa C40:2"
"119","PC aa C40:3","PC.aa.C403","PC aa C40:3","PC.aa.C40.3","PC.aa.C40.3","PC_aa_C40_3","PC aa C40:3"
"120","PC aa C40:4","PC.aa.C404","PC aa C40:4","PC.aa.C40.4","PC.aa.C40.4","PC_aa_C40_4","PC aa C40:4"
"121","PC aa C40:5","PC.aa.C405","PC aa C40:5","PC.aa.C40.5","PC.aa.C40.5","PC_aa_C40_5","PC(18:0/22:5(4Z,7Z,10Z,13Z,16Z))"
"122","PC aa C40:6","PC.aa.C406","PC aa C40:6","PC.aa.C40.6","PC.aa.C40.6","PC_aa_C40_6","PC aa C40:6"
"123","PC aa C42:0","PC.aa.C420","PC aa C42:0","PC.aa.C42.0","PC.aa.C42.0","PC_aa_C42_0","PC aa C42:0"
"124","PC aa C42:1","PC.aa.C421","PC aa C42:1","PC.aa.C42.1","PC.aa.C42.1","PC_aa_C42_1","PC aa C42:1"
"125","PC aa C42:2","PC.aa.C422","PC aa C42:2","PC.aa.C42.2","PC.aa.C42.2","PC_aa_C42_2","PC aa C42:2"
"126","PC aa C42:4","PC.aa.C424","PC aa C42:4","PC.aa.C42.4","PC.aa.C42.4","PC_aa_C42_4","PC aa C42:4"
"127","PC aa C42:5","PC.aa.C425","PC aa C42:5","PC.aa.C42.5","PC.aa.C42.5","PC_aa_C42_5","PC aa C42:5"
"128","PC aa C42:6","PC.aa.C426","PC aa C42:6","PC.aa.C42.6","PC.aa.C42.6","PC_aa_C42_6","PC aa C42:6"
"129","PC ae C30:0","PC.ae.C300","PC ae C30:0","PC.ae.C30.0","PC.ae.C30.0","PC_ae_C30_0","PC ae C30:0"
"130","PC ae C30:1","PC.ae.C301","PC ae C30:1","PC.ae.C30.1","PC.ae.C30.1","PC_ae_C30_1","PC ae C30:1"
"131","PC ae C30:2","PC.ae.C302","PC ae C30:2","PC.ae.C30.2","PC.ae.C30.2","PC_ae_C30_2","PC ae C30:2"
"132","PC ae C32:1","PC.ae.C321","PC ae C32:1","PC.ae.C32.1","PC.ae.C32.1","PC_ae_C32_1","PC ae C32:1"
"133","PC ae C32:2","PC.ae.C322","PC ae C32:2","PC.ae.C32.2","PC.ae.C32.2","PC_ae_C32_2","PC ae C32:2"
"134","PC ae C34:0","PC.ae.C340","PC ae C34:0","PC.ae.C34.0","PC.ae.C34.0","PC_ae_C34_0","PC ae C34:0"
"135","PC ae C34:1","PC.ae.C341","PC ae C34:1","PC.ae.C34.1","PC.ae.C34.1","PC_ae_C34_1","PC ae C34:1"
"136","PC ae C34:2","PC.ae.C342","PC ae C34:2","PC.ae.C34.2","PC.ae.C34.2","PC_ae_C34_2","PC ae C34:2"
"137","PC ae C34:3","PC.ae.C343","PC ae C34:3","PC.ae.C34.3","PC.ae.C34.3","PC_ae_C34_3","PC ae C34:3"
"138","PC ae C36:0","PC.ae.C360","PC ae C36:0","PC.ae.C36.0","PC.ae.C36.0","PC_ae_C36_0","PC ae C36:0"
"139","PC ae C36:1","PC.ae.C361","PC ae C36:1","PC.ae.C36.1","PC.ae.C36.1","PC_ae_C36_1","PC ae C36:1"
"140","PC ae C36:2","PC.ae.C362","PC ae C36:2","PC.ae.C36.2","PC.ae.C36.2","PC_ae_C36_2","PC ae C36:2"
"141","PC ae C36:3","PC.ae.C363","PC ae C36:3","PC.ae.C36.3","PC.ae.C36.3","PC_ae_C36_3","PC ae C36:3"
"142","PC ae C36:4","PC.ae.C364","PC ae C36:4","PC.ae.C36.4","PC.ae.C36.4","PC_ae_C36_4","PC ae C36:4"
"143","PC ae C36:5","PC.ae.C365","PC ae C36:5","PC.ae.C36.5","PC.ae.C36.5","PC_ae_C36_5","PC ae C36:5"
"144","PC ae C38:0","PC.ae.C380","PC ae C38:0","PC.ae.C38.0","PC.ae.C38.0","PC_ae_C38_0","PC ae C38:0"
"145","PC ae C38:1","PC.ae.C381","PC ae C38:1","PC.ae.C38.1","PC.ae.C38.1","PC_ae_C38_1","PC ae C38:1"
"146","PC ae C38:2","PC.ae.C382","PC ae C38:2","PC.ae.C38.2","PC.ae.C38.2","PC_ae_C38_2","PC ae C38:2"
"147","PC ae C38:3","PC.ae.C383","PC ae C38:3","PC.ae.C38.3","PC.ae.C38.3","PC_ae_C38_3","PC ae C38:3"
"148","PC ae C38:4","PC.ae.C384","PC ae C38:4","PC.ae.C38.4","PC.ae.C38.4","PC_ae_C38_4","PC ae C38:4"
"149","PC ae C38:5","PC.ae.C385","PC ae C38:5","PC.ae.C38.5","PC.ae.C38.5","PC_ae_C38_5","PC ae C38:5"
"150","PC ae C38:6","PC.ae.C386","PC ae C38:6","PC.ae.C38.6","PC.ae.C38.6","PC_ae_C38_6","PC ae C38:6"
"151","PC ae C40:1","PC.ae.C401","PC ae C40:1","PC.ae.C40.1","PC.ae.C40.1","PC_ae_C40_1","PC ae C40:1"
"152","PC ae C40:2","PC.ae.C402","PC ae C40:2","PC.ae.C40.2","PC.ae.C40.2","PC_ae_C40_2","PC ae C40:2"
"153","PC ae C40:3","PC.ae.C403","PC ae C40:3","PC.ae.C40.3","PC.ae.C40.3","PC_ae_C40_3","PC ae C40:3"
"154","PC ae C40:4","PC.ae.C404","PC ae C40:4","PC.ae.C40.4","PC.ae.C40.4","PC_ae_C40_4","PC ae C40:4"
"155","PC ae C40:5","PC.ae.C405","PC ae C40:5","PC.ae.C40.5","PC.ae.C40.5","PC_ae_C40_5","PC ae C40:5"
"156","PC ae C40:6","PC.ae.C406","PC ae C40:6","PC.ae.C40.6","PC.ae.C40.6","PC_ae_C40_6","PC ae C40:6"
"157","PC ae C42:0","PC.ae.C420","PC ae C42:0","PC.ae.C42.0","PC.ae.C42.0","PC_ae_C42_0","PC ae C42:0"
"158","PC ae C42:1","PC.ae.C421","PC ae C42:1","PC.ae.C42.1","PC.ae.C42.1","PC_ae_C42_1","PC ae C42:1"
"159","PC ae C42:2","PC.ae.C422","PC ae C42:2","PC.ae.C42.2","PC.ae.C42.2","PC_ae_C42_2","PC ae C42:2"
"160","PC ae C42:3","PC.ae.C423","PC ae C42:3","PC.ae.C42.3","PC.ae.C42.3","PC_ae_C42_3","PC ae C42:3"
"161","PC ae C42:4","PC.ae.C424","PC ae C42:4","PC.ae.C42.4","PC.ae.C42.4","PC_ae_C42_4","PC ae C42:4"
"162","PC ae C42:5","PC.ae.C425","PC ae C42:5","PC.ae.C42.5","PC.ae.C42.5","PC_ae_C42_5","PC ae C42:5"
"163","PC ae C44:3","PC.ae.C443","PC ae C44:3","PC.ae.C44.3","PC.ae.C44.3","PC_ae_C44_3","PC ae C44:3"
"164","PC ae C44:4","PC.ae.C444","PC ae C44:4","PC.ae.C44.4","PC.ae.C44.4","PC_ae_C44_4","PC ae C44:4"
"165","PC ae C44:5","PC.ae.C445","PC ae C44:5","PC.ae.C44.5","PC.ae.C44.5","PC_ae_C44_5","PC ae C44:5"
"166","PC ae C44:6","PC.ae.C446","PC ae C44:6","PC.ae.C44.6","PC.ae.C44.6","PC_ae_C44_6","PC ae C44:6"
"167","Pelargonic.acid","Pelargonic.acid","Pelargonic.acid","Pelargonic.acid","Pelargonic.acid","Pelargonicacid","Pelargonic acid"
"168","Petroselinic.acid","Petroselinic.acid","Petroselinic.acid","Petroselinic.acid","Petroselinic.acid","Petroselinicacid","Petroselinic acid"
"169","Proline","Proline","Proline","Proline","Proline","Proline","Proline"
"170","Putrescine","Putrescine","Putrescine","Putrescine","Putrescine","Putrescine","Putrescine"
"171","Pyroglutamic.acid","Pyroglutamic.acid","Pyroglutamic.acid","Pyroglutamic.acid","Pyroglutamic.acid","Pyroglutamicacid","Pyroglutamic acid"
"172","Ribitol","Ribitol","Ribitol","Ribitol","Ribitol","Ribitol","Ribitol"
"173","Ribonolactone","Ribonolactone","Ribonolactone","Ribonolactone","Ribonolactone","Ribonolactone","Ribonolactone"
"174","Spermidine","Spermidine","Spermidine","Spermidine","Spermidine","Spermidine","Spermidine"
"175","Spermine","Spermine","Spermine","Spermine","Spermine","Spermine","Spermine"
"176","Stearic.acid","Stearic.acid","Stearic.acid","Stearic.acid","Stearic.acid","Stearicacid","Stearic acid"
"177","Taurine","Taurine","Taurine","Taurine","Taurine","Taurine","Taurine"
"178","Tryptophan","Tryptophan","Tryptophan","Tryptophan","Tryptophan","Tryptophan","Tryptophan"
"179","Uric.acid","Uric.acid","Uric.acid","Uric.acid","Uric.acid","Uricacid","Uric acid"
"180","X1.5.Anhydrosorbitol","X1.5.Anhydrosorbitol","X1.5.Anhydrosorbitol","X1.5.Anhydrosorbitol","X1.5.Anhydrosorbitol","X15Anhydrosorbitol","1,5-Anhydrosorbitol"
"181","X2.Hydroxy.3.methylbutyric.acid","X2.Hydroxy.3.methylbutyric.acid","X2.Hydroxy.3.methylbutyric.acid","X2.Hydroxy.3.methylbutyric.acid","X2.Hydroxy.3.methylbutyric.acid","X2Hydroxy3methylbutyricacid","2-Hydroxy-3-methylbutyric acid"
"182","X2.Hydroxybutyric.acid","X2.Hydroxybutyric.acid","X2.Hydroxybutyric.acid","X2.Hydroxybutyric.acid","X2.Hydroxybutyric.acid","X2Hydroxybutyricacid","2-Hydroxybutyric acid"
"183","X2.Hydroxypyridine","X2.Hydroxypyridine","X2.Hydroxypyridine","X2.Hydroxypyridine","X2.Hydroxypyridine","X2Hydroxypyridine","2-Hydroxypyridine"
"184","X3.hydroxypyridine","X3.hydroxypyridine","X3.hydroxypyridine","X3.hydroxypyridine","X3.hydroxypyridine","X3hydroxypyridine","X3 hydroxypyridine"
"185","X3.Methyl.2.oxovaleric.acid","X3.Methyl.2.oxovaleric.acid","X3.Methyl.2.oxovaleric.acid","X3.Methyl.2.oxovaleric.acid","X3.Methyl.2.oxovaleric.acid","X3Methyl2oxovalericacid","3-Methyl-2-oxovaleric acid"
